"","Animal_1","Animal_2","Animal_3","Animal_4","Animal_5","Animal_6","Animal_7","Animal_8","Animal_9","Animal_10","Animal_11","Animal_12","Animal_13","Animal_14","Animal_15","Animal_16","Animal_17","Animal_18","Animal_19","Animal_20","Animal_21"
"Animal_1",0,10,20,35,4,30,31,65,33,35,21,43,10,6,21,6,1,36,15,8,28
"Animal_2",10,0,62,1,15,23,21,36,15,22,19,14,15,19,15,36,1,1,36,7,19
"Animal_3",20,62,0,56,66,41,59,75,53,34,25,67,25,18,65,66,23,42,17,23,7
"Animal_4",35,1,56,0,40,39,30,29,41,50,13,59,7,8,0,10,34,13,7,16,20
"Animal_5",4,15,66,40,0,6,29,13,12,30,13,52,22,21,36,14,56,34,2,6,11
"Animal_6",30,23,41,39,6,0,4,43,63,6,20,58,26,17,39,3,11,26,20,24,10
"Animal_7",31,21,59,30,29,4,0,10,60,4,5,5,9,8,37,16,2,33,39,6,7
"Animal_8",65,36,75,29,13,43,10,0,19,21,0,62,29,21,4,54,48,35,25,36,21
"Animal_9",33,15,53,41,12,63,60,19,0,37,53,44,12,12,58,16,81,41,3,23,12
"Animal_10",35,22,34,50,30,6,4,21,37,0,18,49,22,24,16,16,100,4,11,44,28
"Animal_11",21,19,25,13,13,20,5,0,53,18,0,62,23,18,27,29,17,4,38,37,26
"Animal_12",43,14,67,59,52,58,5,62,44,49,62,0,16,5,28,62,24,29,66,43,9
"Animal_13",10,15,25,7,22,26,9,29,12,22,23,16,0,8,13,19,18,18,25,9,18
"Animal_14",6,19,18,8,21,17,8,21,12,24,18,5,8,0,13,7,12,12,17,15,13
"Animal_15",21,15,65,0,36,39,37,4,58,16,27,28,13,13,0,29,11,30,5,5,20
"Animal_16",6,36,66,10,14,3,16,54,16,16,29,62,19,7,29,0,31,35,16,27,19
"Animal_17",1,1,23,34,56,11,2,48,81,100,17,24,18,12,11,31,0,37,59,1,10
"Animal_18",36,1,42,13,34,26,33,35,41,4,4,29,18,12,30,35,37,0,13,16,26
"Animal_19",15,36,17,7,2,20,39,25,3,11,38,66,25,17,5,16,59,13,0,36,22
"Animal_20",8,7,23,16,6,24,6,36,23,44,37,43,9,15,5,27,1,16,36,0,18
"Animal_21",28,19,7,20,11,10,7,21,12,28,26,9,18,13,20,19,10,26,22,18,0
