"id","age_sex","age","sex","body_weight"
"Animal_1","juvenile-female","juvenile","male",6.66
"Animal_2","juvenile-female","juvenile","male",3.83
"Animal_3","adult-female","adult","male",14.52
"Animal_4","juvenile-male","juvenile","male",8.8
"Animal_5","juvenile-female","juvenile","male",5.94
"Animal_6","juvenile-male","juvenile","male",5.16
"Animal_7","juvenile-female","juvenile","male",5.95
"Animal_8","adult-female","adult","male",15.55
"Animal_9","adult-female","adult","male",15.03
"Animal_10","adult-female","adult","male",14.71
"Animal_11","juvenile-male","juvenile","male",7.43
"Animal_12","adult-female","adult","male",15.78
"Animal_13","adult-male","adult","male",21.43
"Animal_14","adult-male","adult","male",17.86
"Animal_15","juvenile-male","juvenile","male",8.8
"Animal_16","juvenile-female","juvenile","male",7.74
"Animal_17","adult-female","adult","male",14.74
"Animal_18","juvenile-male","juvenile","male",6.98
"Animal_19","juvenile-female","juvenile","male",6.37
"Animal_20","juvenile-female","juvenile","male",5.93
"Animal_21","adult-male","adult","male",19.4
