"worda","wordb","value"
"love","strange",9
"love","true",4
"fear","love",18
"dark","good",16
"good","true",24
"fear","good",28
"good","terrible",14
"good","sad",2
"good","kind",19
"good","strong",20
"good","hope",1
"brave","good",1
"dark","strange",15
"fear","strange",12
"strange","wild",20
"dark","fear",3
"afraid","dark",18
"dark","hope",16
"cry","dark",7
"anger","fear",19
"kind","true",10
"cry","fear",2
"happy","terrible",4
"happy","kind",6
"afraid","cruel",9
"afraid","strong",3
"afraid","hope",13
"strong","wild",19
"hope","wild",19
"humble","proud",2
"brave","strong",2
"cry","strong",10
"cry","hope",19
